vdc,ward,parcel_id,landuse, 
इनर्वामाल,1 क,1,कृषि क्षेत्र,
इनर्वामाल,1 क,2,कृषि क्षेत्र,
इनर्वामाल,1 क,3,कृषि क्षेत्र,
इनर्वामाल,1 क,4,कृषि क्षेत्र,
इनर्वामाल,1 क,5,कृषि क्षेत्र,
इनर्वामाल,1 क,6,कृषि क्षेत्र,
इनर्वामाल,1 क,7,कृषि क्षेत्र,
इनर्वामाल,1 क,8,कृषि क्षेत्र,
इनर्वामाल,1 क,9,कृषि क्षेत्र,
इनर्वामाल,1 क,10,कृषि क्षेत्र,
इनर्वामाल,1 क,12,कृषि क्षेत्र,
इनर्वामाल,1 क,13,कृषि क्षेत्र,
इनर्वामाल,1 क,13,कृषि क्षेत्र,
इनर्वामाल,1 क,14,कृषि क्षेत्र,
इनर्वामाल,1 क,15,कृषि क्षेत्र,
इनर्वामाल,1 क,16,कृषि क्षेत्र,
इनर्वामाल,1 क,17,आवासीय क्षेत्र,
इनर्वामाल,1 क,18,आवासीय क्षेत्र,
इनर्वामाल,1 क,19,आवासीय क्षेत्र,
इनर्वामाल,1 क,20,आवासीय क्षेत्र,
इनर्वामाल,1 क,21,कृषि क्षेत्र,
इनर्वामाल,1 क,22,कृषि क्षेत्र,
इनर्वामाल,1 क,23,कृषि क्षेत्र,
इनर्वामाल,1 क,24,कृषि क्षेत्र,
इनर्वामाल,1 क,25,आवासीय क्षेत्र,
इनर्वामाल,1 क,27,आवासीय क्षेत्र,
इनर्वामाल,1 क,30,आवासीय क्षेत्र,
इनर्वामाल,1 क,31,आवासीय क्षेत्र,
इनर्वामाल,1 क,32,आवासीय क्षेत्र,
इनर्वामाल,1 क,33,कृषि क्षेत्र,
इनर्वामाल,1 क,34,कृषि क्षेत्र,
इनर्वामाल,1 क,35,कृषि क्षेत्र,
इनर्वामाल,1 क,36,कृषि क्षेत्र,
इनर्वामाल,1 क,38,कृषि क्षेत्र,
इनर्वामाल,1 क,39,कृषि क्षेत्र,
इनर्वामाल,1 क,40,कृषि क्षेत्र,
इनर्वामाल,1 क,41,कृषि क्षेत्र,
इनर्वामाल,1 क,42,कृषि क्षेत्र,
इनर्वामाल,1 क,45,कृषि क्षेत्र,
इनर्वामाल,1 क,46,आवासीय क्षेत्र,
इनर्वामाल,1 क,47,कृषि क्षेत्र,
इनर्वामाल,1 क,49,कृषि क्षेत्र,
इनर्वामाल,1 क,51,कृषि क्षेत्र,
इनर्वामाल,1 क,52,आवासीय क्षेत्र,
इनर्वामाल,1 क,53,आवासीय क्षेत्र,
इनर्वामाल,1 क,54,आवासीय क्षेत्र,
इनर्वामाल,1 क,55,आवासीय क्षेत्र,
इनर्वामाल,1 क,56,कृषि क्षेत्र,
इनर्वामाल,1 क,57,कृषि क्षेत्र,
इनर्वामाल,1 क,61,कृषि क्षेत्र,
इनर्वामाल,1 क,62,कृषि क्षेत्र,
इनर्वामाल,1 क,63,कृषि क्षेत्र,
इनर्वामाल,1 क,64,कृषि क्षेत्र,
